herb_id,herb_name_sinhala,herb_name_english,herb_name_latin,family,synonyms,treatment_for,parts_used_in_treatment,description,dosage,contraindications,compounds,native_distribution,conservation_status,edible_parts,medical_properties,source,source_type
SLH-0040,Amukkara,Ashwagandha,Withania somnifera,Solanaceae,Amukkara kola; ashwagandha,stress; general debility; insomnia,bark; flowers; tender shoots,"Ashwagandha (Withania somnifera), known in Sinhala as Amukkara, is a medicinal plant of the family Solanaceae recorded in Sri Lankan traditional medicine. It is traditionally used for stress, general debility, insomnia. The bark are the most commonly used part, usually prepared as a herbal tea. Reported properties include analgesic, carminative activity.","Herbal tea: steep 2 tsp of dried bark in hot water, drink twice daily. ",Not recommended for children under 5 years; Avoid immediately before surgery,sterols; alkaloids; lignans; catechin; lupeol,Southern lowlands,Vulnerable,tender shoots,analgesic; carminative,Medicinal Plants Reference Database ,database
SLH-0041,Sera,Lemongrass,Cymbopogon citratus,Poaceae,Sera kola; lemongrass,fever; digestive disorders; cold and flu,roots,"Lemongrass (Cymbopogon citratus), known in Sinhala as Sera, is a medicinal plant of the family Poaceae recorded in Sri Lankan traditional medicine. It is traditionally used for fever, digestive disorders, cold and flu. The roots are the most commonly used part, usually prepared as a powder. Reported properties include antitussive, anti-inflammatory activity.","Dried roots powder: 1-2 g with warm water, twice daily. ",May cause allergic skin reaction in sensitive individuals; Avoid with anticoagulant medication; Use with caution in chronic kidney disease,iridoids; lignans; oleanolic acid,Island-wide,Common (cultivated),leaves (as mallum),antitussive; anti-inflammatory; demulcent; diuretic,Sri Lanka Herbal Knowledge Survey Records ,field_survey
SLH-0042,Maduruthala,Holy basil,Ocimum tenuiflorum,Lamiaceae,Maduruthala kola; holy basil,cough; cold and flu; fever,fruits; latex,"Holy basil (Ocimum tenuiflorum), known in Sinhala as Maduruthala, is a medicinal plant of the family Lamiaceae recorded in Sri Lankan traditional medicine. It is traditionally used for cough, cold and flu, fever. The fruits are the most commonly used part, usually prepared as a herbal tea. Reported properties include laxative, antispasmodic activity.","Herbal tea: steep 1 tsp of dried fruits in hot water, drink twice daily. ",Use with caution in liver disease,terpenoids; polysaccharides; phenolic acids; oleanolic acid,Sabaragamuwa region,Least Concern,fruits,laxative; antispasmodic,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-0043,Iriweriya,Sri Lankan spur flower,Plectranthus zeylanicus,Lamiaceae,,fever; cold and flu; skin diseases,rhizome,"Sri Lankan spur flower (Plectranthus zeylanicus), known in Sinhala as Iriweriya, is a medicinal plant of the family Lamiaceae recorded in Sri Lankan traditional medicine. It is traditionally used for fever, cold and flu, skin diseases. The rhizome are the most commonly used part, usually prepared as a oil preparation. Reported properties include wound-healing, nervine tonic activity.",Oil preparation of rhizome for external application. ,Avoid with anticoagulant medication; Avoid immediately before surgery,terpenoids; coumarins; chlorogenic acid,Central highlands,Least Concern,none recorded,wound-healing; nervine tonic; immunomodulatory; antioxidant,Traditional Ayurveda Compendium of Sri Lanka ,traditional_text
SLH-0044,Kapparawalliya,Country borage,Plectranthus amboinicus,Lamiaceae,Kapparawalliya kola; country borage,cough; cold and flu; indigestion,rhizome; leaves,"Country borage (Plectranthus amboinicus), known in Sinhala as Kapparawalliya, is a medicinal plant of the family Lamiaceae recorded in Sri Lankan traditional medicine. It is traditionally used for cough, cold and flu, indigestion. The rhizome are the most commonly used part, usually prepared as a cold infusion. Reported properties include antibacterial, hepatoprotective activity.",Cold infusion of rhizome soaked overnight: 100 ml in the morning. ,Not recommended for children under 5 years; Use with caution in chronic kidney disease,alkaloids; polysaccharides; tannins; chlorogenic acid; catechin,Northern dry zone,Least Concern,none recorded,antibacterial; hepatoprotective; antifungal,Medicinal Plants Reference Database ,database
SLH-0045,Aratta,Snap ginger,Alpinia calcarata,Zingiberaceae,,cough; joint pain; respiratory disorders,stem; tubers,"Snap ginger (Alpinia calcarata), known in Sinhala as Aratta, is a medicinal plant of the family Zingiberaceae recorded in Sri Lankan traditional medicine. It is traditionally used for cough, joint pain, respiratory disorders. The stem are the most commonly used part, usually prepared as a cold infusion. Reported properties include antipyretic, antibacterial activity.",Cold infusion of stem soaked overnight: 100 ml in the morning. ,Use with caution in chronic kidney disease; Prolonged high-dose use may cause loose stools; May cause allergic skin reaction in sensitive individuals,iridoids; coumarins; terpenoids; gallic acid,Island-wide,Common (cultivated),tender shoots,antipyretic; antibacterial; diuretic; antispasmodic,Ethnobotanical Research Archive ,research_paper
SLH-0046,Aba,Indian mustard,Brassica juncea,Brassicaceae,,joint pain; chest congestion; skin diseases,tender shoots; rhizome; seeds,"Indian mustard (Brassica juncea), known in Sinhala as Aba, is a medicinal plant of the family Brassicaceae recorded in Sri Lankan traditional medicine. It is traditionally used for joint pain, chest congestion, skin diseases. The tender shoots are the most commonly used part, usually prepared as a porridge (kola kanda). Reported properties include antidiabetic, hepatoprotective activity.","Herbal porridge (kola kanda) prepared with fresh tender shoots, consumed as breakfast 2-3 times weekly. ",Avoid with anticoagulant medication; May cause gastric irritation in high doses; May cause allergic skin reaction in sensitive individuals,saponins; iridoids; phenolic acids; ellagic acid,Uva region,Least Concern,none recorded,antidiabetic; hepatoprotective; antitussive,Ethnobotanical Research Archive ,research_paper
SLH-0047,Uluhal,Fenugreek,Trigonella foenum-graecum,Fabaceae,,diabetes; lactation support; digestive disorders,rhizome,"Fenugreek (Trigonella foenum-graecum), known in Sinhala as Uluhal, is a medicinal plant of the family Fabaceae recorded in Sri Lankan traditional medicine. It is traditionally used for diabetes, lactation support, digestive disorders. The rhizome are the most commonly used part, usually prepared as a oil preparation. Reported properties include immunomodulatory, antifungal activity.",Oil preparation of rhizome for external application. ,Use with caution while breastfeeding,flavonoids; anthraquinones; tannins; vanillic acid; luteolin,Sinharaja periphery,Common (cultivated),none recorded,immunomodulatory; antifungal,Medicinal Plants Reference Database ,database
SLH-0048,Kollu,Horse gram,Macrotyloma uniflorum,Fabaceae,,urinary stones; obesity; cold and flu,roots; fruits; latex,"Horse gram (Macrotyloma uniflorum), known in Sinhala as Kollu, is a medicinal plant of the family Fabaceae recorded in Sri Lankan traditional medicine. It is traditionally used for urinary stones, obesity, cold and flu. The roots are the most commonly used part, usually prepared as a cold infusion. Reported properties include laxative, nervine tonic activity.",Cold infusion of roots soaked overnight: 50 ml in the morning. ,Use with caution in chronic kidney disease; May interact with antihypertensive medication; Use with caution while breastfeeding,essential oils; alkaloids; luteolin,Uva region,Least Concern,none recorded,laxative; nervine tonic; wound-healing,Medicinal Plants Reference Database ,database
SLH-0049,Undu,Black gram,Vigna mungo,Fabaceae,,general debility; nervous disorders; nutrition support,flowers; leaves; gum,"Black gram (Vigna mungo), known in Sinhala as Undu, is a medicinal plant of the family Fabaceae recorded in Sri Lankan traditional medicine. It is traditionally used for general debility, nervous disorders, nutrition support. The flowers are the most commonly used part, usually prepared as a oil preparation. Reported properties include carminative, astringent activity.",Oil preparation of flowers for external application. ,May enhance the effect of antidiabetic medication; monitor blood sugar,phenolic acids; tannins; saponins; apigenin; luteolin,Knuckles range,Near Threatened,none recorded,carminative; astringent,Sri Lanka Herbal Knowledge Survey Records ,field_survey
SLH-0050,Kurakkan,Finger millet,Eleusine coracana,Poaceae,,diabetes; anaemia; nutrition support,tubers; bark,"Finger millet (Eleusine coracana), known in Sinhala as Kurakkan, is a medicinal plant of the family Poaceae recorded in Sri Lankan traditional medicine. It is traditionally used for diabetes, anaemia, nutrition support. The tubers are the most commonly used part, usually prepared as a powder. Reported properties include nervine tonic, diuretic activity.","Dried tubers powder: 2-3 g with warm water, twice daily. ",Use with caution while breastfeeding,polysaccharides; flavonoids; sterols; luteolin; ursolic acid,Uva region,Vulnerable,fruits,nervine tonic; diuretic; immunomodulatory,Medicinal Plants Reference Database ,database
SLH-0051,Kos,Jackfruit,Artocarpus heterophyllus,Moraceae,,diabetes; skin diseases; nutrition support,seeds,"Jackfruit (Artocarpus heterophyllus), known in Sinhala as Kos, is a medicinal plant of the family Moraceae recorded in Sri Lankan traditional medicine. It is traditionally used for diabetes, skin diseases, nutrition support. The seeds are the most commonly used part, usually prepared as a porridge (kola kanda). Reported properties include hepatoprotective, expectorant activity.","Herbal porridge (kola kanda) prepared with fresh seeds, consumed as breakfast 2-3 times weekly. ",May cause gastric irritation in high doses; Use with caution in chronic kidney disease; Avoid during pregnancy unless advised by a qualified practitioner,essential oils; terpenoids; anthraquinones; quercetin; vanillic acid,Wet zone lowlands,Data Deficient,none recorded,hepatoprotective; expectorant,Community Ayurveda Practitioner Interviews ,expert_interview
SLH-0052,Divul,Wood apple,Limonia acidissima,Rutaceae,Divul kola; wood apple,digestive disorders; diarrhoea; liver support,tender shoots; stem,"Wood apple (Limonia acidissima), known in Sinhala as Divul, is a medicinal plant of the family Rutaceae recorded in Sri Lankan traditional medicine. It is traditionally used for digestive disorders, diarrhoea, liver support. The tender shoots are the most commonly used part, usually prepared as a oil preparation. Reported properties include nervine tonic, antidiabetic activity.",Oil preparation of tender shoots for external application. ,May cause allergic skin reaction in sensitive individuals,polysaccharides; iridoids; anthraquinones; luteolin,Southern lowlands,Common (cultivated),none recorded,nervine tonic; antidiabetic,Ethnobotanical Research Archive ,research_paper
SLH-0053,Dan,Jambolan,Syzygium cumini,Myrtaceae,,diabetes; diarrhoea; oral health,bark; roots; flowers,"Jambolan (Syzygium cumini), known in Sinhala as Dan, is a medicinal plant of the family Myrtaceae recorded in Sri Lankan traditional medicine. It is traditionally used for diabetes, diarrhoea, oral health. The bark are the most commonly used part, usually prepared as a oil preparation. Reported properties include antispasmodic, analgesic activity.",Oil preparation of bark for external application. ,Use with caution in chronic kidney disease; Use with caution in liver disease,coumarins; lignans; terpenoids; gallic acid,Central highlands,Common (cultivated),tender shoots,antispasmodic; analgesic; antidiabetic; antipyretic,Traditional Ayurveda Compendium of Sri Lanka ,traditional_text
